NUMBER	TITLE	AUTHOR	TYPE	YEAR
603	In Cyberspace	Dave Berry	Humor	1998
604	Why I Hate Canadians	Wil Ferguson	Non-fic	1998
605	Dave Berry's Complete Guide to Guys	Dave Berry	Humor	1998
606	Bright Paradise	Peter Raby	Non-fic	1998
607	Die Broke	Stephan M. Pollan & Mark Levine	Non-fic	1998
608	Foreigner	C. J. Cherryh	Sci-fic	1998
609	Are We Unique	James Trefil	Non-fic	1998
610	Four Ways to Forgiveness	Ursula K. Leguin	Sci-fic	1998
611	Destiny's Road	Larry Niven	Sci-fic	1998
612	The Invention That Changed the World	Robert Buderi	Non-fic	1998
613	The Rise of Endymion	Dan Simmons	Sci-fic	1998
614	Saturn Rukh	Robert L. Forward	Sci-fic	1998
615	Thought Contagion	Aaron Lynch	Non-fic	1998
616	My Brain is Open	Bruce Schechter	Biography	1998
617	Abraham Robinson	Joseph Warren Dauben	Biography	1998
618	Undaunted Courage	Stephen E. Ambrose	History	1998
619	A. D. 1000	Richard Erdoes	History	1998
620	"Guns, Germs, and Steel"	Jared Diamond	History	1998
621	Calendar	David Ewing Duncan	History	1999
622	Cortes	Richard Lee Marks	History	1999
623	In the Presence of the Creator	Gale E. Christianson	Biography	1999
624	Unweaving the Rainbow	Richard Dawkins	Non-fic	1999
625	Nothingness	Henning Genz	Non-fic	1999
626	Uncertainty	David C. Cassidy	Biography	1999
627	The Code Book	Simon Singh	Non-fic	1999
628	Galileo's Daughter	Dava Sobel	History	2000
629	Cryptonomicon	Neal Stephenson	Sci-fic	2000
630	Voodoo Science	Robert Park	Non-fic	2000
631	Darwin's Radio	Greg Bear	Sci-fic	2000
632	Revelation Space	Alastair Reynolds	Sci-fic	2000
633	Manifold Time	Stephen Baxter	Sci-fic	2000
634	The Giant Leap	Adrian Berry	Non-fic	2000
635	Flashforward	Robert J. Sawyer	Sci-fic	2000
636	The Ingenuity Gap	Thomas Homer-Dixon	Sci-fic	2000
637	Zero	Charles Siefe	Non-fic	2000
638	On Writing	Stephen King	Non-fic	2001
639	Silencing Science	Steven Milloy & Michael Gough	Non-fic	2001
640	The Mystery of the Aleph	Amir D. Aczel	Non-fic	2001
641	The Elegant Universe	Brian Greene	Non-fic	2001
642	Godel	John L. Casti & Werner DePauli	Non-fic	2001
643	E=mc^2: A biography of the world's most famous equation	David Bodanic	Non-fic	2002
644	The Camera	Ansel Adams	Non-fic	2002
645	The Negative	Ansel Adams	Non-fic	2002
646	The Klondike Fever	Pierre Berton	Non-fic	2002
647	The Print	Ansel Adams	Non-fic	2002
648	Rex Appeal	Peter Larson & Kristin Donnan	Non-fic	2002
649	The Monk in the Garden	Robin Marantz Henig	Non-fic	2002
650	Ilium	Dan Simmons	Sci-fic	2003
651	Olympos	Dan Simmons	Sci-fic	2005
652	Parallax	Alan W. Hirshfeld	Non-fic	2007
653	The Singularity is Near	Ray Kurzweil	Non-fic	2007
654	Quicksilver	Neal Stephenson	Fiction	2007
655	The Epic of Gilgamesh	:tr: N. K. Sandars	Fiction	2007
656	The Confusion	Neal Stephenson	Fiction	2007
657	Poincare's Prize	George G. Szpiro	Non-fic	2010
658	Anathem	Neal Stephenson	Sci-fic	2011
659	The God Delusion	Richard Dawkins	Non-fic	2011
660	Meta Math the quest for Omega 	Gregory Chaitin	Non-fic	2011
661	The Age of Entanglement	Louisa Gilder	Non-fic	2011
662	1421: The Year China Discovered America	Gavin Menzies	Non-fic	2011
663	Cleopatra	Stacy Schiff	History	2011
664	The Folly of Fools	Robert Trivers	Non-fic	2012
665	How I Killed Pluto and Why It Had It Coming	Mike Brown	Non-fic	2012
666	How to Write a Sentence and how to Read One	Stanley Fish	Non-fic	2012
667	Transit of Venus 1631 to the Present	Nick Lomb	Non-fic	2012
668	2312	Kim Stanley Robinson	Sci-fic	2012
669	The Algebraist	Iain M. Banks	Sci-fic	2012
670	Year Zero	Rob Reid	Sci-fic	2012
671	Learn You a Haskell for Great Good!	Miran Lipovaca	Programming	2012
672	Learning JavaScript: A Hands on Guide to the Fundamentals of Modern JavaScript	Tim Wright	Programming	2012
673	CSS for Print Designers	J. D. Graffam	Programming	2012
674	Mortality	Christopher Hitchens	Non-fic	2012
675	Totally Incorrect: Conversations with Doug Casey	Doug Casey	Non-fic	2013
676	The Real Story of Risk: Adventures in a Hazardous World	Glenn E. Croston	Non-fic	2013
677	Cosmic Numbers: The Numbers that Define our Universe	James D. Stein	Non-fic	2013
678	Surface Detail	Iain M. Banks	Sci-fic	2013
679	A Universe from Nothing: Why There is Something Rather than Nothing	Lawrence M. Krauss	Non-fic	2013
680	The Failure of Common Knowledge	Douglas E. French	Non-fic	2013
681	God Is Not Great: How Religion Poisons Everything	Christopher Hitchens	Non-fic	2013
682	The King of Infinite Space: Euclid and His Elements	David Berlinkski	Non-fic	2013
683	The Stranger	Albert Camus	Fiction	2013
684	Enjoy the Decline	Aaron Clarey	Non-fic	2013
685	The Five Dysfunctions of a Team	Patrick Lencioni	Non-fic	2013
686	The Myth of Sisyphus	Albert Camus	Non-fic	2013
687	The Signal and the Noise: Why So Many Predictions Fail - But Some Don't	Nate Silver	Non-fic	2013
688	Euclid and Jesus	C. K. Raju	Non-fic	2013
689	"Scatter, Adapt, and Remember: How Humans Will Survive a Mass Extinction"	Annalee Newitz	Non-fic	2013
690	Probably Approximately Correct	Leslie Valiant	Non-fic	2013
691	Love and Math: The Heart of Hidden Reality	Edward Frenkel	Non-fic	2013
692	The Creature from Jekyll Island: A Second look the Federal Reserve	G. Edward Griffin	Non-fic	2014
693	The Red and the White: a Family Sage of the American West	Andrew R. Graybill	Non-fic	2014
694	Into the Wild	Jon Krakauer	Non-fic	2014
695	The Book of Love: Poems of Ecstasy and Longing	"Rumi, trs. Coleman Barks"	Poetry	2014
696	The Rime of the Ancient Mariner	Samuel Taylor Coleridge :ilu: Gustave Dore	Poetry	2014
697	Infinitesimal: How a Dangerous Mathematical Theory Shaped the Modern World	Amir Alexander	Non-fic	2014
698	Bowl of Heaven	Gregory Benford & Larry Niven	Sci-fic	2014
699	Shipstar	Gregory Benford & Larry Niven	Sci-fic	2014
700	The Emperor's Handbook: A New Translation of The Meditations	Marcus Aurelius :tr:  David Hicks & Scot Hicks	Philosophy	2014
701	Things Fall Apart	Chinua Achebe	Fiction	2014
702	Calculating God	Robert J. Sawyer	Sci-fic	2014
